date,open,high,low,close,volume,Adj close
2010-01-04,3592.468,3597.748,3535.229,3535.229,93419838921.0,3535.229
2010-01-05,3545.186,3577.526,3497.661,3564.038,1.28302442618e+11,3564.038
2010-01-06,3558.7,3588.832,3541.173,3541.727,1.21045989916e+11,3541.727
2010-01-07,3543.16,3558.556,3452.769,3471.456,1.20436166283e+11,3471.456
2010-01-08,3456.908,3482.083,3426.698,3480.13,90190959969.0,3480.13
2010-01-11,3593.106,3594.528,3465.317,3482.052,1.34114001104e+11,3482.052
2010-01-12,3477.842,3535.407,3437.661,3534.916,1.34071416354e+11,3534.916
2010-01-13,3448.291,3490.112,3415.693,3421.144,1.59860384574e+11,3421.144
2010-01-14,3433.472,3470.323,3411.812,3469.051,1.18107870086e+11,3469.051
2010-01-15,3472.524,3500.072,3448.661,3482.738,1.04035175785e+11,3482.738
2010-01-18,3471.777,3501.26,3458.042,3500.684,1.17884258544e+11,3500.684
2010-01-19,3506.806,3528.39,3497.094,3507.482,1.08023525533e+11,3507.482
2010-01-20,3512.246,3515.449,3387.818,3394.434,1.28416164613e+11,3394.434
2010-01-21,3397.043,3425.18,3364.723,3408.574,1.00076607006e+11,3408.574
2010-01-22,3364.452,3390.796,3293.194,3366.197,1.19197815814e+11,3366.197
2010-01-25,3340.013,3372.426,3326.266,3328.014,76626626843.0,3328.014
2010-01-26,3328.113,3341.198,3222.14,3242.797,81586059213.0,3242.797
2010-01-27,3243.038,3255.116,3183.365,3198.566,70540273182.0,3198.566
2010-01-28,3195.289,3220.306,3168.463,3206.57,64082115658.0,3206.57
2010-01-29,3190.315,3249.455,3176.916,3204.155,68018118702.0,3204.155
2010-02-01,3198.23,3198.311,3116.439,3152.707,75982150475.0,3152.707
2010-02-02,3170.778,3211.941,3143.085,3146.189,68318412373.0,3146.189
2010-02-03,3160.712,3231.102,3094.568,3230.715,87536249983.0,3230.715
2010-02-04,3206.431,3242.519,3190.437,3218.802,75466552963.0,3218.802
2010-02-05,3147.721,3177.42,3129.921,3153.087,73693132366.0,3153.087
2010-02-08,3152.253,3172.306,3133.808,3150.988,47902429250.0,3150.988
2010-02-09,3147.761,3178.947,3144.478,3169.19,45222660374.0,3169.19
2010-02-10,3195.142,3214.456,3182.834,3214.13,48152144637.0,3214.13
2010-02-11,3216.688,3238.349,3207.165,3220.398,46999712971.0,3220.398
2010-02-12,3232.879,3253.196,3228.738,3251.278,46703220577.0,3251.278
2010-02-22,3248.947,3261.949,3232.784,3233.345,49981333658.0,3233.345
2010-02-23,3225.393,3225.393,3152.934,3198.634,62386076936.0,3198.634
2010-02-24,3177.082,3244.816,3165.133,3244.483,64414097361.0,3244.483
2010-02-25,3252.153,3294.144,3249.329,3292.128,89485801632.0,3292.128
2010-02-26,3286.095,3301.149,3273.693,3281.666,70171666128.0,3281.666
2010-03-01,3290.007,3330.378,3287.556,3324.423,81205689009.0,3324.423
2010-03-02,3327.103,3339.894,3299.685,3311.236,76233992315.0,3311.236
2010-03-03,3313.023,3335.654,3293.916,3335.081,78442132954.0,3335.081
2010-03-04,3338.674,3345.909,3244.978,3250.573,89462913752.0,3250.573
2010-03-05,3253.164,3276.403,3239.677,3259.764,59621178434.0,3259.764
2010-03-08,3268.397,3293.93,3258.034,3286.178,54686555117.0,3286.178
2010-03-09,3285.62,3322.506,3255.982,3305.863,71971297725.0,3305.863
2010-03-10,3304.036,3321.081,3267.761,3279.694,61760429281.0,3279.694
2010-03-11,3282.199,3303.488,3251.704,3276.705,63732658851.0,3276.705
2010-03-12,3277.309,3284.263,3232.117,3233.126,52611210820.0,3233.126
2010-03-15,3231.216,3234.821,3171.803,3183.183,49219898122.0,3183.183
2010-03-16,3183.775,3204.289,3169.098,3203.971,41510426396.0,3203.971
2010-03-17,3214.216,3273.998,3207.271,3273.916,62587395428.0,3273.916
2010-03-18,3277.883,3295.368,3256.593,3267.555,62509130228.0,3267.555
2010-03-19,3270.978,3296.411,3251.136,3293.871,62114230718.0,3293.871
2010-03-22,3297.824,3313.922,3288.506,3302.628,65652976792.0,3302.628
2010-03-23,3305.554,3309.12,3272.921,3275.573,62145531443.0,3275.573
2010-03-24,3282.052,3298.543,3271.033,3276.669,58330301241.0,3276.669
2010-03-25,3270.39,3270.39,3222.821,3229.128,58604759567.0,3229.128
2010-03-26,3226.8,3285.388,3220.594,3275.002,61592843185.0,3275.002
2010-03-29,3295.763,3363.605,3293.671,3358.54,1.10326973484e+11,3358.54
2010-03-30,3361.353,3372.265,3350.313,3366.708,78682669413.0,3366.708
2010-03-31,3369.193,3369.901,3338.745,3345.607,72120886278.0,3345.607
2010-04-01,3349.884,3392.481,3349.884,3391.935,92360495841.0,3391.935
2010-04-02,3400.139,3412.2,3391.806,3407.346,99040760060.0,3407.346
2010-04-06,3422.849,3436.29,3386.888,3405.145,93985883918.0,3405.145
2010-04-07,3403.088,3404.582,3369.017,3386.949,76733159936.0,3386.949
2010-04-08,3381.306,3381.306,3336.156,3346.744,89317468603.0,3346.744
2010-04-09,3348.773,3379.398,3342.471,3379.17,75590356319.0,3379.17
2010-04-12,3388.355,3393.557,3330.3,3351.478,1.05996609644e+11,3351.478
2010-04-13,3350.726,3401.707,3324.048,3391.716,1.16440339286e+11,3391.716
2010-04-14,3394.635,3404.516,3377.437,3403.707,90787568716.0,3403.707
2010-04-15,3407.025,3412.937,3365.881,3394.574,88700235636.0,3394.574
2010-04-16,3388.286,3388.286,3348.781,3356.332,67235596653.0,3356.332
2010-04-19,3313.499,3313.499,3175.441,3176.423,1.18855971989e+11,3176.423
2010-04-20,3176.414,3196.646,3130.96,3173.374,88005965691.0,3173.374
2010-04-21,3178.877,3237.537,3164.765,3236.679,93373377791.0,3236.679
2010-04-22,3222.68,3231.985,3177.726,3201.541,98970386343.0,3201.541
2010-04-23,3198.784,3224.739,3172.578,3190.003,92115669956.0,3190.003
2010-04-26,3195.457,3207.715,3168.374,3171.997,74959121055.0,3171.997
2010-04-27,3163.101,3163.101,3060.854,3108.409,88058360562.0,3108.409
2010-04-28,3080.324,3122.115,3062.085,3097.353,65484924588.0,3097.353
2010-04-29,3114.941,3130.696,3059.796,3060.064,69250868103.0,3060.064
2010-04-30,3060.12,3068.127,3014.069,3067.365,73190884013.0,3067.365
2010-05-04,3005.487,3056.082,2994.921,3019.449,54558607131.0,3019.449
2010-05-05,2981.777,3036.865,2943.361,3036.394,80835340414.0,3036.394
2010-05-06,3014.907,3014.907,2895.392,2896.856,81502262034.0,2896.856
2010-05-07,2835.879,2892.533,2817.153,2836.789,79147499714.0,2836.789
2010-05-10,2842.366,2872.314,2798.523,2858.233,64909188147.0,2858.233
2010-05-11,2916.335,2922.125,2790.701,2800.817,73894666754.0,2800.817
2010-05-12,2781.708,2832.147,2756.422,2818.16,64693988243.0,2818.16
2010-05-13,2818.578,2886.972,2811.661,2886.911,67486536614.0,2886.911
2010-05-14,2865.58,2888.093,2849.241,2868.023,55175291043.0,2868.023
2010-05-17,2828.882,2828.882,2712.444,2714.715,62395513473.0,2714.715
2010-05-18,2711.407,2781.845,2686.973,2771.348,62746245805.0,2771.348
2010-05-19,2748.952,2803.695,2723.304,2762.174,54656401336.0,2762.174
2010-05-20,2739.219,2793.876,2721.072,2726.022,52677914862.0,2726.022
2010-05-21,2656.419,2769.094,2647.597,2768.791,63501808937.0,2768.791
