date,open,high,low,close,volume,Adj Close
2017-01-20,10.13,10.32,10.13,10.29,99615.48,10.29
2017-01-19,10.13,10.22,10.11,10.15,82299.81,10.15
2017-01-18,9.96,10.17,9.91,10.15,121140.29,10.15
2017-01-17,9.88,9.99,9.83,9.94,90607.03,9.94
2017-01-16,10.09,10.09,9.69,9.88,157018.02,9.88
2017-01-13,10.26,10.34,10.1,10.1,155953.48,10.1
2017-01-12,10.35,10.45,10.2,10.2,78427.44,10.2
2017-01-11,10.51,10.52,10.3,10.38,88370.64,10.38
2017-01-10,10.52,10.59,10.48,10.53,67428.65,10.53
2017-01-09,10.54,10.58,10.42,10.54,88073.88,10.54
2017-01-06,10.57,10.62,10.47,10.57,101622.49,10.57
2017-01-05,10.57,10.65,10.54,10.56,67855.99,10.56
2017-01-04,10.46,10.64,10.44,10.56,128683.01,10.56
2017-01-03,10.33,10.52,10.29,10.48,124258.15,10.48
2016-12-30,10.34,10.54,10.26,10.3,101658.32,10.3
2016-12-29,10.37,10.47,10.33,10.34,92042.94,10.34
2016-12-28,10.56,10.6,10.43,10.43,73587.85,10.43
2016-12-27,10.62,10.78,10.54,10.58,125428.27,10.58
2016-12-26,10.36,10.68,10.32,10.66,172052.36,10.66
2016-12-23,10.38,10.53,10.25,10.36,156300.94,10.36
2016-12-22,10.25,10.43,10.23,10.4,99414.73,10.4
2016-12-21,10.18,10.34,10.18,10.29,103897.5,10.29
2016-12-20,10.29,10.3,10.12,10.16,108081.14,10.16
2016-12-19,10.4,10.4,10.21,10.28,128461.51,10.28
2016-12-16,10.34,10.45,10.33,10.4,87796.93,10.4
2016-12-15,10.38,10.52,10.28,10.36,169864.05,10.36
2016-12-14,10.67,10.67,10.41,10.44,168579.36,10.44
2016-12-13,10.52,10.72,10.45,10.69,137275.58,10.69
2016-12-12,11.17,11.21,10.38,10.56,440976.62,10.56
2016-12-09,11.17,11.33,11.14,11.22,178146.8,11.22
2016-12-08,11.31,11.37,11.14,11.16,177809.52,11.16
2016-12-07,11.24,11.34,11.14,11.3,134675.02,11.3
2016-12-06,11.26,11.33,11.09,11.32,275662.12,11.32
2016-12-05,11.6,11.62,11.16,11.27,515574.97,11.27
2016-12-02,12.35,12.45,11.91,11.98,400113.0,11.98
2016-12-01,11.91,12.5,11.88,12.46,577100.25,12.46
2016-11-30,12.36,12.46,11.9,11.94,514576.72,11.94
2016-11-29,12.28,12.69,12.02,12.39,603246.88,12.39
2016-11-28,12.39,12.75,12.21,12.39,502135.28,12.39
2016-11-25,12.42,12.75,12.25,12.3,575669.56,12.3
2016-11-24,11.88,12.49,11.8,12.45,687977.44,12.45
2016-11-23,11.65,12.34,11.55,11.96,698679.12,11.96
2016-11-22,11.62,11.88,11.56,11.61,381982.44,11.61
2016-11-21,11.54,11.99,11.46,11.61,405187.72,11.61
2016-11-18,11.75,12.0,11.51,11.54,432233.84,11.54
2016-11-17,11.29,11.65,11.27,11.55,372475.12,11.55
2016-11-16,11.35,11.36,11.21,11.35,237204.45,11.35
2016-11-15,11.11,11.37,11.08,11.29,345681.81,11.29
2016-11-14,11.11,11.17,11.07,11.11,204752.52,11.11
2016-11-11,11.2,11.23,11.04,11.15,234738.0,11.15
2016-11-10,11.21,11.38,11.11,11.23,209623.3,11.23
2016-11-09,11.19,11.35,10.93,11.17,340088.56,11.17
2016-11-08,11.21,11.27,11.11,11.16,105433.55,11.16
2016-11-07,11.01,11.29,10.96,11.23,212353.81,11.23
2016-11-04,11.17,11.19,11.0,11.01,139453.52,11.01
2016-11-03,11.1,11.23,11.07,11.13,131167.47,11.13
2016-11-02,11.34,11.38,11.13,11.14,180839.09,11.14
2016-10-28,11.15,11.29,11.08,11.13,172226.84,11.13
2016-10-27,11.16,11.23,11.08,11.12,103332.32,11.12
2016-10-26,11.22,11.23,11.05,11.16,151312.64,11.16
2016-10-25,11.17,11.3,11.12,11.23,244053.59,11.23
2016-10-24,10.95,11.23,10.94,11.2,346752.22,11.2
2016-10-21,11.06,11.09,10.85,10.93,180975.95,10.93
2016-10-20,10.95,11.18,10.93,11.11,265128.16,11.11
2016-10-19,10.94,11.05,10.9,10.95,158408.36,10.95
2016-10-18,10.79,10.94,10.77,10.93,166728.03,10.93
2016-10-17,10.98,11.04,10.78,10.78,243523.06,10.78
2016-10-14,11.14,11.16,10.99,11.02,264919.97,11.02
2016-10-13,11.14,11.21,11.07,11.18,205583.42,11.18
2016-10-12,11.22,11.24,11.07,11.16,277946.81,11.16
2016-10-11,11.12,11.46,11.11,11.23,315588.47,11.23
