date,open,high,low,close,volume,Adj Close
2017-01-20,3326.98,3358.41,3326.37,3354.89,65300460.0,3354.89
2017-01-19,3330.95,3346.5,3324.68,3329.29,66159812.0,3329.29
2017-01-18,3323.34,3350.96,3320.41,3339.37,70623224.0,3339.37
2017-01-17,3305.6,3327.38,3292.2,3326.36,69453328.0,3326.36
2017-01-16,3314.15,3322.78,3264.21,3319.45,157779136.0,3319.45
2017-01-13,3317.96,3338.17,3309.37,3319.91,84180584.0,3319.91
2017-01-12,3332.69,3343.13,3315.96,3317.62,81239136.0,3317.62
2017-01-11,3355.8,3366.63,3334.3,3334.5,91071440.0,3334.5
2017-01-10,3361.64,3370.51,3354.09,3358.27,83819160.0,3358.27
2017-01-09,3345.75,3366.22,3344.35,3363.9,83707936.0,3363.9
2017-01-06,3366.85,3368.87,3346.89,3347.67,87459112.0,3347.67
2017-01-05,3368.34,3373.41,3361.46,3367.79,88336352.0,3367.79
2017-01-04,3340.56,3369.57,3338.15,3368.31,90050824.0,3368.31
2017-01-03,3313.95,3345.26,3313.95,3342.23,86567896.0,3342.23
2016-12-30,3302.6,3313.55,3295.75,3310.08,71744120.0,3310.08
2016-12-29,3297.04,3312.11,3288.1,3297.76,70087920.0,3297.76
2016-12-28,3315.75,3320.55,3293.17,3301.89,69000440.0,3301.89
2016-12-27,3319.21,3330.23,3315.83,3316.39,75486360.0,3316.39
2016-12-26,3293.22,3322.42,3267.05,3322.4,89793984.0,3322.4
2016-12-23,3333.4,3334.89,3300.88,3307.6,97444712.0,3307.6
2016-12-22,3335.12,3340.36,3322.72,3335.67,92277248.0,3335.67
2016-12-21,3313.75,3342.48,3313.75,3338.54,108255000.0,3338.54
2016-12-20,3328.3,3329.1,3289.27,3309.06,87569592.0,3309.06
2016-12-19,3342.34,3344.86,3325.0,3328.98,81640680.0,3328.98
2016-12-16,3335.36,3356.29,3330.49,3346.03,90775416.0,3346.03
2016-12-15,3363.86,3378.04,3327.14,3340.43,114960664.0,3340.43
2016-12-14,3399.41,3412.28,3378.27,3378.95,124007744.0,3378.95
2016-12-13,3394.21,3416.21,3370.6,3405.04,121105104.0,3405.04
2016-12-12,3489.27,3495.8,3400.79,3409.18,187467760.0,3409.18
2016-12-09,3464.87,3507.93,3461.76,3493.7,150303296.0,3493.7
2016-12-08,3481.81,3484.34,3466.51,3470.14,117383928.0,3470.14
2016-12-07,3458.37,3475.75,3445.76,3475.75,114345104.0,3475.75
2016-12-06,3466.24,3477.59,3456.81,3459.15,115529096.0,3459.15
2016-12-05,3473.69,3496.88,3457.34,3469.41,180852352.0,3469.41
2016-12-02,3559.77,3562.55,3516.79,3528.95,196355488.0,3528.95
2016-12-01,3543.96,3575.97,3543.24,3565.04,180170752.0,3565.04
2016-11-30,3557.64,3567.07,3527.02,3538.0,178560192.0,3538.0
2016-11-29,3525.9,3583.72,3521.38,3564.04,236918352.0,3564.04
2016-11-28,3538.68,3553.36,3528.32,3535.08,207375488.0,3535.08
2016-11-25,3490.04,3521.3,3463.95,3521.3,153621504.0,3521.3
2016-11-24,3468.81,3508.16,3467.01,3488.74,145746304.0,3488.74
2016-11-23,3473.89,3492.96,3465.76,3474.73,162388496.0,3474.73
2016-11-22,3443.22,3469.22,3443.22,3468.36,168523456.0,3468.36
2016-11-21,3412.65,3463.14,3412.08,3441.11,146434528.0,3441.11
2016-11-18,3437.49,3443.12,3413.27,3417.46,115951208.0,3417.46
2016-11-17,3423.47,3437.67,3412.88,3436.53,121561736.0,3436.53
2016-11-16,3432.43,3435.64,3419.24,3429.59,129808504.0,3429.59
2016-11-15,3428.87,3434.92,3415.99,3429.87,134566320.0,3429.87
2016-11-14,3409.22,3452.62,3408.14,3430.25,213247104.0,3430.25
2016-11-11,3387.95,3422.67,3382.89,3417.22,198781504.0,3417.22
2016-11-10,3374.91,3403.02,3374.91,3390.61,134705536.0,3390.61
2016-11-09,3370.6,3373.1,3322.08,3353.05,139110064.0,3353.05
2016-11-08,3367.7,3383.92,3361.13,3371.12,103148280.0,3371.12
2016-11-07,3353.44,3362.74,3342.31,3356.59,99877992.0,3356.59
2016-11-04,3362.21,3377.64,3348.43,3354.17,104069656.0,3354.17
2016-11-03,3326.9,3379.99,3324.84,3365.09,126223504.0,3365.09
2016-11-02,3350.71,3356.4,3331.38,3333.35,91197104.0,3333.35
2016-10-28,3347.143,3370.748,3337.288,3340.126,93133312.0,3340.126
2016-10-27,3351.46,3352.354,3335.133,3345.695,77629848.0,3345.695
2016-10-26,3365.197,3367.831,3349.574,3354.8,98024784.0,3354.8
2016-10-25,3367.475,3373.913,3356.585,3367.454,111191696.0,3367.454
2016-10-24,3332.512,3382.825,3330.967,3367.577,153014352.0,3367.577
2016-10-21,3315.715,3341.56,3309.178,3327.74,109785176.0,3327.74
2016-10-20,3317.179,3324.903,3312.174,3318.604,79238872.0,3318.604
2016-10-19,3323.303,3332.52,3309.831,3316.24,101167728.0,3316.24
2016-10-18,3272.681,3321.332,3272.681,3321.332,102860712.0,3321.332
2016-10-17,3305.963,3309.009,3271.541,3277.878,86113512.0,3277.878
2016-10-14,3298.734,3306.685,3285.729,3305.848,82316272.0,3305.848
2016-10-13,3299.155,3307.409,3292.397,3302.645,81224200.0,3302.645
2016-10-12,3299.138,3302.561,3289.753,3300.009,68669784.0,3300.009
2016-10-11,3296.867,3308.004,3292.877,3306.557,87713160.0,3306.557
2016-10-10,3265.364,3294.64,3258.958,3293.868,80519264.0,3293.868
2016-09-30,3240.177,3260.94,3239.036,3253.284,44978024.0,3253.284
2016-09-29,3234.857,3257.766,3234.803,3244.387,55452556.0,3244.387
2016-09-28,3243.647,3243.647,3227.996,3230.89,44727496.0,3230.89
2016-09-27,3214.87,3240.775,3214.441,3240.754,58460552.0,3240.754
2016-09-26,3267.69,3267.69,3220.283,3220.283,70452184.0,3220.283
2016-09-23,3292.278,3293.916,3275.025,3275.666,57993984.0,3275.666
2016-09-22,3281.471,3303.199,3277.979,3291.121,75753544.0,3291.121
2016-09-21,3257.709,3270.902,3254.321,3266.636,59142980.0,3266.636
2016-09-20,3264.664,3265.035,3252.388,3257.403,52784208.0,3257.403
2016-09-19,3242.742,3264.899,3242.742,3263.124,58831080.0,3263.124
