datetime,000402,cash,commission,total,returns,equity_curve,drawdown
2000-01-01,0.0,100000.0,0.0,100000.0,,,
2000-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-01-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-03-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
