datetime,000300.SH,000300.SH_position,000300.SH_price,cash,commission,order,total,returns,equity_curve,000300.SH_return,drawdown
2005-01-01,0.0,,,100000.0,0.0,,100000.0,,,,
2005-01-04,0.0,0.0,982.79,100000.0,0.0,,100000.0,0.0,1.0,,0.0
2005-01-05,0.0,0.0,992.56,100000.0,0.0,,100000.0,0.0,1.0,0.00994108609164,0.0
2005-01-06,0.0,0.0,983.17,100000.0,0.0,,100000.0,0.0,1.0,-0.00946038526638,0.0
2005-01-07,0.0,0.0,983.96,100000.0,0.0,,100000.0,0.0,1.0,0.00080352329709,0.0
2005-01-10,0.0,0.0,993.88,100000.0,0.0,,100000.0,0.0,1.0,0.0100817106386,0.0
2005-01-11,0.0,0.0,997.13,100000.0,0.0,,100000.0,0.0,1.0,0.00327001247636,0.0
2005-01-12,0.0,0.0,996.75,100000.0,0.0,,100000.0,0.0,1.0,-0.000381093739031,0.0
2005-01-13,0.0,0.0,996.88,100000.0,0.0,,100000.0,0.0,1.0,0.000130423877602,0.0
2005-01-14,0.0,0.0,988.31,100000.0,0.0,,100000.0,0.0,1.0,-0.0085968220849,0.0
2005-01-17,0.0,0.0,967.45,100000.0,0.0,,100000.0,0.0,1.0,-0.0211067377645,0.0
2005-01-18,0.0,0.0,974.69,100000.0,0.0,,100000.0,0.0,1.0,0.00748359088325,0.0
2005-01-19,0.0,0.0,967.21,100000.0,0.0,,100000.0,0.0,1.0,-0.00767423488494,0.0
2005-01-20,0.0,0.0,956.25,100000.0,0.0,,100000.0,0.0,1.0,-0.0113315619152,0.0
2005-01-21,0.0,0.0,982.6,100000.0,0.0,,100000.0,0.0,1.0,0.0275555555556,0.0
2005-01-24,0.0,0.0,998.13,100000.0,0.0,,100000.0,0.0,1.0,0.015805007124,0.0
2005-01-25,0.0,0.0,997.77,100000.0,0.0,,100000.0,0.0,1.0,-0.000360674461243,0.0
2005-01-26,0.0,0.0,989.93,100000.0,0.0,,100000.0,0.0,1.0,-0.00785752227467,0.0
2005-01-27,0.0,0.0,974.63,100000.0,0.0,,100000.0,0.0,1.0,-0.0154556382775,0.0
2005-01-28,0.0,0.0,969.21,100000.0,0.0,,100000.0,0.0,1.0,-0.00556108471933,0.0
2005-01-31,0.0,0.0,954.88,100000.0,0.0,,100000.0,0.0,1.0,-0.0147852374614,0.0
2005-02-01,0.0,0.0,955.95,100000.0,0.0,,100000.0,0.0,1.0,0.00112055965147,0.0
2005-02-02,0.0,0.0,1006.91,100000.0,0.0,,100000.0,0.0,1.0,0.0533082274178,0.0
2005-02-03,0.0,0.0,993.22,100000.0,0.0,,100000.0,0.0,1.0,-0.0135960512856,0.0
2005-02-04,0.0,0.0,1016.86,100000.0,0.0,,100000.0,0.0,1.0,0.023801373311,0.0
2005-02-16,0.0,0.0,1023.58,100000.0,0.0,,100000.0,0.0,1.0,0.00660857935212,0.0
2005-02-17,0.0,0.0,1020.61,100000.0,0.0,,100000.0,0.0,1.0,-0.00290158072647,0.0
2005-02-18,0.0,0.0,1006.05,100000.0,0.0,,100000.0,0.0,1.0,-0.0142659781895,0.0
2005-02-21,0.0,0.0,1025.63,100000.0,0.0,,100000.0,0.0,1.0,0.0194622533671,0.0
2005-02-22,0.0,0.0,1046.74,100000.0,0.0,,100000.0,0.0,1.0,0.0205824712616,0.0
2005-02-23,0.0,0.0,1043.94,100000.0,0.0,,100000.0,0.0,1.0,-0.00267497181726,0.0
2005-02-24,0.0,0.0,1045.46,100000.0,0.0,,100000.0,0.0,1.0,0.00145602237677,0.0
2005-02-25,0.0,0.0,1046.76,100000.0,0.0,,100000.0,0.0,1.0,0.00124347177319,0.0
2005-02-28,0.0,0.0,1039.99,100000.0,0.0,,100000.0,0.0,1.0,-0.00646757613971,0.0
2005-03-01,0.0,0.0,1035.93,100000.0,0.0,,100000.0,0.0,1.0,-0.00390388369119,0.0
2005-03-02,0.0,0.0,1021.32,100000.0,0.0,,100000.0,0.0,1.0,-0.0141032695259,0.0
2005-03-03,0.0,0.0,1027.71,100000.0,0.0,,100000.0,0.0,1.0,0.00625660909411,0.0
2005-03-04,0.0,0.0,1023.67,100000.0,0.0,,100000.0,0.0,1.0,-0.00393107004894,0.0
2005-03-07,0.0,0.0,1029.87,100000.0,0.0,,100000.0,0.0,1.0,0.00605663934666,0.0
2005-03-08,0.0,0.0,1048.99,100000.0,0.0,,100000.0,0.0,1.0,0.0185654500083,0.0
2005-03-09,0.0,0.0,1046.54,100000.0,0.0,,100000.0,0.0,1.0,-0.0023355799388,0.0
2005-03-10,0.0,0.0,1022.41,100000.0,0.0,,100000.0,0.0,1.0,-0.0230569304566,0.0
2005-03-11,0.0,0.0,1027.43,100000.0,0.0,,100000.0,0.0,1.0,0.00490996762551,0.0
2005-03-14,0.0,0.0,1031.03,100000.0,0.0,,100000.0,0.0,1.0,0.00350388834276,0.0
2005-03-15,0.0,0.0,1013.52,100000.0,0.0,,100000.0,0.0,1.0,-0.016983016983,0.0
2005-03-16,0.0,0.0,1003.07,100000.0,0.0,,100000.0,0.0,1.0,-0.0103106006788,0.0
2005-03-17,0.0,0.0,992.86,100000.0,0.0,,100000.0,0.0,1.0,-0.0101787512337,0.0
2005-03-18,0.0,0.0,978.66,100000.0,0.0,,100000.0,0.0,1.0,-0.0143021171162,0.0
2005-03-21,0.0,0.0,981.89,100000.0,0.0,,100000.0,0.0,1.0,0.00330043120185,0.0
2005-03-22,0.0,0.0,964.02,100000.0,0.0,,100000.0,0.0,1.0,-0.0181995946593,0.0
2005-03-23,0.0,0.0,959.01,100000.0,0.0,,100000.0,0.0,1.0,-0.00519698761436,0.0
2005-03-24,0.0,0.0,964.8,100000.0,0.0,,100000.0,0.0,1.0,0.00603747614728,0.0
2005-03-25,0.0,0.0,962.96,100000.0,0.0,,100000.0,0.0,1.0,-0.00190713101161,0.0
2005-03-28,0.0,0.0,960.7,100000.0,0.0,,100000.0,0.0,1.0,-0.00234693029825,0.0
2005-03-29,0.0,0.0,955.19,100000.0,0.0,,100000.0,0.0,1.0,-0.00573540126991,0.0
2005-03-30,0.0,0.0,937.03,100000.0,0.0,,100000.0,0.0,1.0,-0.0190119243292,0.0
2005-03-31,0.0,0.0,942.2,100000.0,0.0,,100000.0,0.0,1.0,0.00551743273961,0.0
2005-04-01,0.0,0.0,978.14,100000.0,0.0,,100000.0,0.0,1.0,0.0381447675653,0.0
2005-04-04,0.0,0.0,962.17,100000.0,0.0,,100000.0,0.0,1.0,-0.0163269061689,0.0
2005-04-05,0.0,0.0,955.6,100000.0,0.0,,100000.0,0.0,1.0,-0.0068283151626,0.0
2005-04-06,0.0,0.0,973.67,100000.0,0.0,,100000.0,0.0,1.0,0.0189095856007,0.0
2005-04-07,101136.116212,102.704412592,984.73,-0.20540882519,0.0,BUY,101135.910803,0.0113591080327,1.01135910803,0.0113590847002,0.0
2005-04-08,103058.742816,102.704412592,1003.45,-0.20540882519,0.0,BUY,103058.537407,0.019010325694,1.03058537407,0.0190102870838,0.0
2005-04-11,102234.026383,102.704412592,995.42,-0.20540882519,0.0,BUY,102233.820974,-0.00800240769826,1.02233820974,-0.00800239174847,0.00824716433117
2005-04-12,100516.808604,102.704412592,978.7,-0.20540882519,0.0,BUY,100516.603195,-0.0167969636876,1.00516603195,-0.0167969299391,0.0254193421166
2005-04-13,102796.846564,102.704412592,1000.9,-0.20540882519,0.0,BUY,102796.641155,0.0226831974726,1.02796641155,0.0226831511188,0.00261896252111
2005-04-14,101367.20114,102.704412592,986.98,-0.20540882519,0.0,BUY,101366.995732,-0.0139075110551,1.01366995732,-0.0139074832651,0.016915416754
2005-04-15,100042.314218,102.704412592,974.08,-0.20540882519,0.0,BUY,100042.108809,-0.0130702001463,1.00042108809,-0.0130701736611,0.0301642859784
2005-04-18,98983.4317242,102.704412592,963.77,-0.20540882519,0.0,BUY,98983.2263153,-0.010584367987,0.989832263153,-0.0105843462549,0.0407531109167
2005-04-19,99201.1650789,102.704412592,965.89,-0.20540882519,0.0,BUY,99200.95967,0.00219969951275,0.9920095967,0.00219969494796,0.0385757773697
2005-04-20,0.0,0.0,950.87,99200.95967,0.0,SELL,99200.95967,0.0,0.9920095967,-0.0155504249966,0.0385757773697
2005-04-21,0.0,0.0,943.98,99200.95967,0.0,SELL,99200.95967,0.0,0.9920095967,-0.00724599577229,0.0385757773697
2005-04-22,0.0,0.0,939.1,99200.95967,0.0,SELL,99200.95967,0.0,0.9920095967,-0.00516960105087,0.0385757773697
2005-04-25,0.0,0.0,930.07,99200.95967,0.0,SELL,99200.95967,0.0,0.9920095967,-0.0096155893941,0.0385757773697
